,ID,P90
1318,85168,18.2
1319,40428,29.4
1320,40978,36.0
1321,40685,32.82000000000002
1322,6005,26.94000000000001
1323,6087,26.420000000000044
1324,91320,26.2
1325,9617,19.0
1326,9510,17.8
1327,23707,25.6
1328,81005,18.0
1329,81058,16.0
1330,94005,13.409999999999991
1331,91284,16.6
1332,91007,18.0
1333,39147,27.84000000000001
1334,41490,29.0
1335,41315,25.4
1336,41316,29.04000000000001
1337,41007,31.2
1338,35149,33.0
1339,83067,27.78000000000002
1340,83005,26.2
1341,29161,35.0
1342,94006,13.530000000000019
1343,94233,12.8
1344,86033,16.5
1345,37007,29.320000000000025
1346,40377,30.0
1347,78005,14.5
1348,29092,40.0
1349,71073,26.0
1350,61006,24.160000000000014
1351,67015,26.990000000000055
1352,24505,11.2
1353,21007,14.6
1354,21000,14.4
1355,21010,15.8
1356,40913,31.2
1357,40223,32.2
1358,40842,31.4
