,Unnamed: 0,ID,Location,Latitude,Longitude,Start_Month,Start_Year,End_Month,End_Year,Years,Percent,Code,State
10583,10583,35258,MORAMANA,-22.2375,147.5133,Jul,1972,Sep,2010,33.5,88,N,QLD
10584,10584,26046,MORAMBRO STATION,-36.7833,140.5833,Jan,1883,Dec,1907,24.7,99,N,SA
10585,10585,34035,MORANBAH AIRPORT,-22.0644,148.0758,Feb,2012,Jun,2024,12.4,0,Y,QLD
10586,10586,34038,MORANBAH WATER TREATMENT PLANT,-21.9947,148.0308,Apr,1972,Mar,2012,39.1,98,N,QLD
10587,10587,86110,MORANG SOUTH,-37.6667,145.0833,Apr,1940,Oct,1972,32.6,0,N,VIC
10588,10588,73058,MORANGARELL,-34.2,147.1,Apr,1884,Sep,1942,58.5,0,N,NSW
10589,10589,8093,MORAWA,-29.2103,116.0089,May,1911,Mar,2005,92.3,98,N,WA
10590,10590,8296,MORAWA AIRPORT,-29.2039,116.0247,Mar,1997,Jun,2024,27.3,0,Y,WA
10591,10591,8092,MORAWA WEST,-29.1908,115.8814,Aug,1912,Jul,1991,77.7,98,N,WA
10592,10592,9157,MORAY,-30.9667,115.8,Sep,1929,Sep,1934,5.1,0,N,WA
10593,10593,36071,MORAY DOWNS,-21.9503,146.6314,Jan,1914,Oct,2008,48.3,51,N,QLD
10594,10594,40979,MORAYFIELD (PETERSEN RD) ALERT,-27.1247,152.9356,May,2006,Jun,2024,17.6,97,N,QLD
10595,10595,40996,MORAYFIELD BUSHLAND PLACE,-27.1192,152.9228,Oct,2009,Dec,2009,0.3,0,N,QLD
10596,10596,40774,MORAYFIELD MARK ST,-27.1038,152.9461,Apr,1988,May,2021,30.4,92,N,QLD
10597,10597,19069,MORCHARD,-32.7217,138.4919,Oct,1919,Sep,1985,34.8,53,N,SA
10598,10598,19025,MORCHARD (THE ROCKS),-32.7654,138.5055,Jan,1916,Jun,2024,108.5,0,N,SA
10599,10599,9718,MORDALUP,-34.3,116.6167,Jul,1900,Dec,1917,9.8,56,N,WA
10600,10600,46068,MORDEN,-30.5,142.4,Jan,1891,Jan,1926,32.3,92,N,NSW
10601,10601,10889,MORDETTA,-32.885,118.6347,Jan,1972,Jun,2024,50.8,97,N,WA
10602,10602,86263,MORDIALLOC NORTH,-38.0,145.1,Feb,1969,Nov,1972,3.8,0,N,VIC
10603,10603,86078,MORDIALLOC WOODLANDS GOLF CLUB,-38.0,145.1,Jul,1901,Dec,1967,50.0,75,N,VIC
